ID,Type,Label,Title,Text
REC_1,Recital,Recital (1),,"(1) Digitale Dienste im Allgemeinen und Online-Plattformen im Besonderen spielen eine immer wichtigere Rolle in der Wirtschaft, vor allem im Binnenmarkt, da sie es Unternehmen ermöglichen, Nutzer in der gesamten Union zu erreichen, den grenzüberschreitenden Handel erleichtern und einer großen Zahl von Unternehmen in der Union völlig neue Geschäftsmöglichkeiten eröffnen, was Verbrauchern in der Union zugutekommt."
REC_2,Recital,Recital (2),,"(2) Zugleich weisen die zentralen Plattformdienste unter diesen digitalen Diensten eine Reihe von Merkmalen auf, die von den Unternehmen, die sie bereitstellen, zu ihrem eigenen Vorteil genutzt werden können. Ein Beispiel für solche Merkmale zentraler Plattformdienste sind extreme Größenvorteile, die in vielen Fällen darauf zurückzuführen sind, dass für die Bedienung weiterer gewerblicher Nutzer oder Endnutzer fast keine Grenzkosten entstehen. Weitere solcher Merkmale zentraler Plattformdienste sind die sehr starken Netzwerkeffekte, die durch die Mehrseitigkeit dieser Dienste bedingte Fähigkeit, viele gewerbliche Nutzer mit vielen Endnutzern in Verbindung zu bringen, die beträchtliche Abhängigkeit sowohl der gewerblichen Nutzer als auch der Endnutzer, Bindungseffekte (lock-in effects), fehlende Parallelverwendung mehrerer Dienste (multi-homing) der Endnutzer für denselben Zweck, vertikale Integration sowie Datenvorteile. All diese Merkmale können in Verbindung mit unfairen Praktiken von Unternehmen, die die zentralen Plattformdienste bereitstellen, dazu führen, dass die Bestreitbarkeit zentraler Plattformdienste beträchtlich untergraben wird und die Fairness der Geschäftsbeziehungen zwischen den Unternehmen, die diese Dienste bereitstellen, und ihren gewerblichen Nutzern und Endnutzern beeinträchtigt wird. Dies führt in der Praxis rasch zu einer möglicherweise weitreichenden Verringerung der Auswahl der gewerblichen Nutzer und Endnutzer und kann deshalb dem Betreiber dieser Dienste die Position eines sogenannten Torwächters verschaffen. Zugleich sollte anerkannt werden, dass nicht gewinnorientierte Dienste wie etwa kollaborative Projekte für die Zwecke dieser Verordnung nicht als zentrale Plattformdienste gelten sollten."
REC_3,Recital,Recital (3),,"(3) Einige wenige große Unternehmen, die zentrale Plattformdienste bereitstellen, haben beträchtliche wirtschaftliche Macht erlangt, die sie für eine Benennung als Torwächter im Sinne dieser Verordnung qualifizieren könnte. Sie können durch ihre Dienste in der Regel viele gewerbliche Nutzer mit vielen Endnutzern in Verbindung bringen, was es ihnen ermöglicht, ihre in einem Tätigkeitsbereich erworbenen Vorteile, z. B. ihren Zugang zu großen Datenmengen, in anderen Tätigkeitsbereichen für sich zu nutzen. Einige dieser Unternehmen kontrollieren ganze Plattformökosysteme in der digitalen Wirtschaft, und angesichts dieses strukturellen Vorteils ist es selbst für sehr innovative und effiziente bestehende oder neue Marktteilnehmer extrem schwierig, mit diesen Unternehmen in Wettbewerb zu treten oder ihnen ihre Position streitig zu machen. Die Bestreitbarkeit ist insbesondere aufgrund der sehr hohen Schranken für einen Markteintritt oder -austritt, darunter hohe Ausgaben für Investitionskosten, die bei einem Marktaustritt nicht oder nicht leicht zurückerlangt werden können, und des fehlenden oder schlechteren Zugangs zu einigen in der digitalen Wirtschaft entscheidenden Inputs wie Daten beschränkt. Dadurch erhöht sich die Wahrscheinlichkeit, dass die zugrunde liegenden Märkte nicht gut funktionieren oder in naher Zukunft nicht mehr gut funktionieren werden."
REC_4,Recital,Recital (4),,"(4) Zusammengenommen dürften diese Merkmale von Torwächtern in vielen Fällen zu schwerwiegenden Ungleichgewichten bei der Verhandlungsmacht und folglich zu unfairen Praktiken und Bedingungen für gewerbliche Nutzer und für Endnutzer der von Torwächtern angebotenen zentralen Plattformdienste führen, was sich nachteilig auf Preise, Qualität, fairen Wettbewerb, Auswahl und Innovation im digitalen Sektor auswirken würde."
REC_5,Recital,Recital (5),,"(5) Daher können die Marktprozesse im Bereich der zentralen Plattformdienste oft keine fairen wirtschaftlichen Ergebnisse gewährleisten. Die Artikel 101 und 102 des Vertrags über die Arbeitsweise der Europäischen Union (AEUV) sind zwar auf das Verhalten von Torwächtern anwendbar, jedoch nur auf bestimmte Arten von Marktmacht, z. B. eine beherrschende Stellung auf spezifischen Märkten, und von wettbewerbswidrigem Verhalten, und werden erst im Nachhinein durchgesetzt und erst nach einer umfassenden Untersuchung oft sehr komplexer Fakten in konkreten Fällen. Außerdem wirft das Verhalten von Torwächtern, die nicht zwangsläufig über eine marktbeherrschende Stellung im wettbewerbsrechtlichen Sinne verfügen müssen, mit Blick auf das wirksame Funktionieren des Binnenmarkts Herausforderungen auf, denen das geltende Unionsrecht nicht oder nicht wirksam Rechnung trägt."
REC_6,Recital,Recital (6),,"(6) Torwächter haben erheblichen Einfluss auf den Binnenmarkt, da sie vielen gewerblichen Nutzern als Zugangstor zu Endnutzern in der ganzen Union und auf verschiedenen Märkten dienen. Die nachteiligen Auswirkungen unfairer Praktiken auf den Binnenmarkt und die besonders geringe Bestreitbarkeit zentraler Plattformdienste, einschließlich der negativen Auswirkungen solcher unfairer Praktiken auf Wirtschaft und Gesellschaft, haben nationale Gesetzgeber und sektorale Regulierungsbehörden dazu veranlasst, tätig zu werden. Auf nationaler Ebene wurde bereits eine Reihe von Regulierungsvorschriften für digitale Dienste oder zumindest bestimmte solcher Dienste erlassen oder vorgeschlagen, um unfairen Praktiken zu begegnen und die Bestreitbarkeit dieser Dienste zu erhöhen. Dies hat jedoch zu uneinheitlichen Regulierungsvorschriften und damit zu einer Fragmentierung des Binnenmarkts geführt, sodass die Befolgungskosten aufgrund unterschiedlicher nationaler Vorschriften steigen könnten."
REC_7,Recital,Recital (7),,"(7) Zweck dieser Verordnung ist es daher, zum reibungslosen Funktionieren des Binnenmarkts beizutragen, indem Vorschriften festgelegt werden, die die Bestreitbarkeit und Fairness der Märkte im digitalen Sektor im Allgemeinen und für gewerbliche Nutzer und Endnutzer zentraler Plattformdienste, die von Torwächtern bereitgestellt werden, im Besonderen gewährleisten. Es sollten geeignete regulatorische Maßnahmen getroffen werden, um gewerbliche Nutzer und Endnutzer der von Torwächtern bereitgestellten zentralen Plattformdienste in der gesamten Union vor unfairen Praktiken von Torwächtern zu schützen, um grenzüberschreitende Geschäfte innerhalb der Union zu erleichtern und auf diese Weise das reibungslose Funktionieren des Binnenmarkts zu verbessern und eine bestehende oder mit Wahrscheinlichkeit entstehende Fragmentierung in den unter diese Verordnung fallenden Bereichen zu beseitigen. Wenngleich Torwächter meist weltweit oder europaweit ausgerichtete Geschäftsmodelle und algorithmische Strukturen zugrunde legen, können sie in verschiedenen Mitgliedstaaten unterschiedliche Konditionen und Geschäftspraktiken anwenden und haben das in einigen Fällen auch getan; dies kann ungleiche Wettbewerbsbedingungen für die Nutzer ihrer zentralen Plattformdienste zur Folge haben, was die Integration des Binnenmarkts beeinträchtigt."
REC_8,Recital,Recital (8),,"(8) Durch eine gewisse Angleichung unterschiedlich gestalteter nationaler Rechtsvorschriften können Hindernisse ausgeräumt werden, die der freien Erbringung und dem freien Empfang von Dienstleistungen wie Einzelhandelsdienstleistungen im Binnenmarkt entgegenstehen. Auf der Ebene der Union sollten daher gezielte harmonisierte rechtliche Verpflichtungen festgelegt werden, um zum Vorteil der Wirtschaft der Union insgesamt und letztlich der Verbraucher in der Union bestreitbare und faire digitale Märkte, auf denen Torwächter tätig sind, im Binnenmarkt sicherzustellen."
REC_9,Recital,Recital (9),,"(9) Eine Fragmentierung des Binnenmarkts kann nur dann wirksam abgewendet werden, wenn die Mitgliedstaaten daran gehindert werden, nationale Vorschriften anzuwenden, die in den Anwendungsbereich dieser Verordnung fallen und dieselben Ziele wie diese Verordnung verfolgen. Dies schließt nicht die Möglichkeit aus, auf Torwächter im Sinne dieser Verordnung andere nationale Vorschriften, mit denen andere legitime Ziele des öffentlichen Interesses im Sinne des AEUV oder in der Rechtsprechung des Gerichtshofs der Europäischen Union (im Folgenden „Gerichtshof“) anerkannte zwingende Gründe des öffentlichen Interesses verfolgt werden, anzuwenden."
REC_10,Recital,Recital (10),,"(10) Da diese Verordnung die Vorschriften über die Durchsetzung des Wettbewerbsrechts ergänzen soll, sollte sie zugleich unbeschadet der Artikel 101 und 102 AEUV, unbeschadet der entsprechenden nationalen Wettbewerbsvorschriften und anderes einseitiges Verhalten betreffender nationaler Wettbewerbsvorschriften, nach denen Marktstellungen und Verhaltensweisen einschließlich ihrer tatsächlichen oder möglichen Auswirkungen und des genauen Gegenstands der verbotenen Verhaltensweisen im Einzelfall zu prüfen sind und nach denen Unternehmen Effizienz und objektive Rechtsfertigungsgründe als Argumente für derartige Verhaltensweisen anführen können, und unbeschadet nationaler Vorschriften über die Fusionskontrolle gelten. Die Anwendung der genannten Vorschriften sollte jedoch nicht die Verpflichtungen, die Torwächtern nach dieser Verordnung auferlegt werden, und ihre einheitliche und wirksame Anwendung im Binnenmarkt berühren."
