ID,Type,Label,Title,Text
REC_1,Recital,Recital (1),,"(1) Les services numériques en général et les plateformes en ligne en particulier jouent un rôle toujours plus important au sein de l’économie, notamment sur le marché intérieur, en permettant aux entreprises d’atteindre les utilisateurs dans l’ensemble de l’Union, en facilitant le commerce transfrontière et en ouvrant des débouchés commerciaux entièrement nouveaux à un grand nombre d’entreprises dans l’Union, au profit des consommateurs dans l’Union."
REC_2,Recital,Recital (2),,"(2) Parallèlement, parmi ces services numériques, les services de plateforme essentiels présentent un certain nombre de caractéristiques qui peuvent être exploitées par les entreprises qui les fournissent. Parmi les caractéristiques de ces services de plateforme essentiels figurent par exemple des économies d’échelle extrêmes, qui résultent souvent de coûts marginaux presque nuls pour ajouter des entreprises utilisatrices ou des utilisateurs finaux. Les services de plateforme essentiels se caractérisent en outre par des effets de réseau très importants, leur capacité de relier de nombreuses entreprises utilisatrices avec de nombreux utilisateurs finaux grâce à leur caractère multiface, un degré considérable de dépendance des entreprises utilisatrices et des utilisateurs finaux, des effets de verrouillage, l’absence de multihébergement aux mêmes fins par les utilisateurs finaux, l’intégration verticale et les avantages liés aux données. Toutes ces caractéristiques, combinées à des pratiques déloyales de la part des entreprises fournissant ces services de plateforme essentiels, peuvent sensiblement compromettre la contestabilité des services de plateforme essentiels, ainsi que nuire à l’équité de la relation commerciale entre les entreprises fournissant ces services et leurs entreprises utilisatrices et utilisateurs finaux. En pratique, cela conduit à une diminution rapide et potentiellement considérable du choix des entreprises utilisatrices et utilisateurs finaux, et peut donc conférer au fournisseur de ces services la position de «contrôleurs d’accès». Dans le même temps, il convient de reconnaître que les services qui ne poursuivent pas d’objectif commercial, comme les projets collaboratifs, ne devraient pas être considérés comme des services de plateforme essentiels aux fins du présent règlement."
REC_3,Recital,Recital (3),,"(3) Un petit nombre de grandes entreprises fournissant des services de plateforme essentiels ont vu le jour et disposent d’un pouvoir économique considérable qui pourrait faire d’elles des contrôleurs d’accès au sens du présent règlement. En règle générale, elles sont en mesure de relier de nombreuses entreprises utilisatrices à de nombreux utilisateurs finaux à travers leurs services, ce qui, en retour, leur permet de tirer profit de leurs avantages, tels qu’un accès à de vastes quantités de données, d’un domaine d’activité à un autre. Certaines de ces entreprises exercent un contrôle sur des écosystèmes de plateformes entiers au sein de l’économie numérique et sont structurellement extrêmement difficiles à concurrencer ou à contester par des opérateurs du marché existants ou nouveaux, indépendamment du degré d’innovation et d’efficacité de ces opérateurs du marché. La contestabilité est réduite en particulier du fait de l’existence de barrières très hautes à l’entrée ou à la sortie, y compris des coûts d’investissement élevés qui, en cas de sortie, ne sont pas récupérables, ou le sont difficilement, et l’absence d’intrants clés de l’économie numérique, tels que les données, ou l’accès limité à ces derniers. Le mauvais fonctionnement des marchés sous-jacents, ou leur mauvais fonctionnement futur, est par conséquent plus probable."
REC_4,Recital,Recital (4),,"(4) Dans de nombreux cas, cette combinaison de caractéristiques des contrôleurs d’accès est susceptible de mener à de graves déséquilibres en matière de pouvoir de négociation, et donc à des pratiques et conditions déloyales à l’égard tant des entreprises utilisatrices que des utilisateurs finaux de services de plateforme essentiels fournis par ces contrôleurs d’accès, au détriment des prix, de la qualité, de la concurrence loyale, du choix et de l’innovation dans le secteur numérique."
REC_5,Recital,Recital (5),,"(5) Il s’ensuit que les processus du marché sont souvent incapables de garantir des résultats économiques équitables en ce qui concerne les services de plateforme essentiels. Si les articles 101 et 102 du traité sur le fonctionnement de l’Union européenne s’appliquent au comportement des contrôleurs d’accès, le champ d’application de ces dispositions se limite à certains cas de pouvoir de marché, par exemple la position dominante sur certains marchés et le comportement anticoncurrentiel, et l’application intervient ex post et requiert une enquête approfondie, au cas par cas, sur des faits souvent très complexes. En outre, le droit existant de l’Union ne répond pas, ou pas efficacement, aux entraves au bon fonctionnement du marché intérieur dues au comportement de contrôleurs d’accès qui n’occupent pas nécessairement de position dominante au sens du droit de la concurrence."
REC_6,Recital,Recital (6),,"(6) En offrant des points d’accès à un grand nombre d’entreprises utilisatrices pour atteindre leurs utilisateurs finaux, partout dans l’Union et sur différents marchés, les contrôleurs d’accès ont un poids important sur le marché intérieur. L’incidence néfaste des pratiques déloyales sur le marché intérieur, et en particulier la faible contestabilité des services de plateforme essentiels, y compris les conséquences sociétales et économiques négatives de ces pratiques déloyales, a conduit les législateurs nationaux et les organismes de réglementation sectoriels à agir. Un certain nombre de solutions réglementaires ont déjà été adoptées au niveau national ou proposées en réponse aux questions liées aux pratiques déloyales et à la contestabilité des services numériques, ou à certaines d’entre elles au moins. Il en a résulté des divergences entre les solutions réglementaires, qui entraînent une fragmentation du marché intérieur, augmentant en conséquence le risque de voir croître les coûts de mise en conformité, en raison des différents dispositifs réglementaires nationaux."
REC_7,Recital,Recital (7),,"(7) Par conséquent, l’objectif du présent règlement est de contribuer au bon fonctionnement du marché intérieur en établissant des règles visant à garantir la contestabilité et l’équité des marchés dans le secteur numérique en général et pour les entreprises utilisatrices et les utilisateurs finaux des services de plateforme essentiels fournis par les contrôleurs d’accès en particulier. Les entreprises utilisatrices et les utilisateurs finaux de services de plateforme essentiels fournis par des contrôleurs d’accès devraient bénéficier de garanties réglementaires contre les pratiques déloyales des contrôleurs d’accès dans l’ensemble de l’Union, afin de faciliter les échanges transfrontières au sein de l’Union et, partant, le bon fonctionnement du marché intérieur, et d’éliminer la fragmentation existante ou éviter qu’elle apparaisse dans les domaines spécifiques régis par le présent règlement. De plus, si les contrôleurs d’accès adoptent généralement des modèles commerciaux et des structures algorithmiques mondiaux, ou du moins paneuropéens, ils peuvent adopter, et, dans certains cas, ont adopté, des conditions et pratiques commerciales différentes dans les divers États membres, qui sont susceptibles de créer des disparités entre les conditions de concurrence pour les utilisateurs de services de plateforme essentiels fournis par les contrôleurs d’accès, aux dépens de l’intégration du marché intérieur."
REC_8,Recital,Recital (8),,"(8) En rapprochant les législations nationales divergentes, il est possible d’éliminer les obstacles à la liberté de fournir et recevoir des services, y compris les services de vente au détail, au sein du marché intérieur. Un ensemble ciblé d’obligations légales harmonisées devrait par conséquent être établi à l’échelon de l’Union afin de garantir la contestabilité et l’équité des marchés numériques sur lesquels les contrôleurs d’accès opèrent au sein du marché intérieur, dans l’intérêt de l’économie de l’Union dans son ensemble et, en définitive, des consommateurs de l’Union."
REC_9,Recital,Recital (9),,"(9) Il n’est possible d’éviter effectivement une fragmentation du marché intérieur qu’en interdisant aux États membres d’appliquer des règles nationales qui relèvent du même champ d’application et poursuivent les mêmes objectifs que le présent règlement. Cela ne fait pas obstacle à la possibilité d’appliquer aux contrôleurs d’accès, au sens du présent règlement, d’autres règles nationales qui poursuivent d’autres objectifs d’intérêt public légitimes énoncés dans le traité sur le fonctionnement de l’Union européenne ou qui se justifient pour des raisons impérieuses d’intérêt général reconnues par la jurisprudence de la Cour de justice de l’Union européenne (ci-après dénommée «Cour de justice»)."
REC_10,Recital,Recital (10),,"(10) Dans le même temps, puisque le présent règlement vise à compléter l’application du droit de la concurrence, il devrait s’appliquer, sans préjudice des articles 101 et 102 du traité sur le fonctionnement de l’Union européenne, aux règles de concurrence nationales correspondantes et aux autres règles de concurrence nationales relatives au comportement unilatéral, qui reposent sur une évaluation individualisée des positions et du comportement sur le marché, y compris les effets réels ou éventuels ainsi que la portée précise du comportement interdit, et qui prévoient la possibilité pour les entreprises de justifier objectivement le comportement en question par des motifs d’efficience, ainsi qu’aux règles nationales concernant le contrôle des concentrations. Toutefois, l’application de ces règles ne devrait pas porter atteinte aux obligations imposées aux contrôleurs d’accès au titre du présent règlement ni à leur application uniforme et effective sur le marché intérieur."
